nom_centre;adresse;code_postal;ville;site_web_inscription;latitude;longitude
CLPS L'ENJEU COMPÉTENCES;4 rue Ferdinand de Lesseps BP;42317;Brest;http://www.clps.net;48.103767;-1.708319
IBEP - MORLAIX;"310, Rue Caroline Aigle, 29600, MORLAIX";29600;Morlaix;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1100/23;48.595782;-3.816644
LEO LAGRANGE FORMATION - BREST;"Espace associatif - 1 Allée Monseigneur Jean René Calloc'h, 29000, QIMPER";29000;Qimper;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1050;47.982855;-4.078864
CEL DU CFTMI;Centre d'étude de langues 145 avenue de Kéradennec;29000;Quimper;https://test-civique.fr/inscription;47.972815;-4.085493
GRETA-CFA DE CORSE DU SUD (Site Bonaparte);Lycée Laetitia Bonaparte - CS;20845;Ajaccio;https://2a.gretacfa.corsica/inscription-tests-et-certifications-en-francais/;46.949218;4.297669
GRETA-CFA DE CORSE DU SUD (Site Finosello);LP FINOSELLO- Avenue Maréchal Lyautey;20090;Ajaccio;https://2a.gretacfa.corsica/nouvelles-formations-fle/;43.716438;7.283074
GRETA DE HAUTE-CORSE;Lycée Paul Vincensini - Avenue de la 4ème DMM - Cité Technique de Montesoro;20600;Bastia;http://www.gretacfa.corsica;42.669919;9.441206
ASSOCIATION OPRA A LECCIA;Route Royale;20600;Bastia;http://www.opra.corsica;42.678189;9.43405
FLE'CONNEXION;"26, place des Martyrs de la Résistance";30100;Alès;http://www.fle-connexion.com;43.531287;5.447581
EFFICIA;"11T, rue Salomon Reinach, 30000, NIMES";30000;Nimes;https://francais.cci-paris-idf.fr/inscription-candidat/contact/403/23;43.833314;4.378629
LEO LAGRANGE FORMATION;"Forum Ville Active, 32 Rue Robert Mallet Stevens Bâtiment A, 30900, NIMES";30900;Nimes;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1126;43.812905;4.348725
INFREP;188 allée de l'Amérique latine;30900;Nîmes;https://www.infrep.org/;43.820979;4.363604
GRETA-CFA GARD-LOZERE;Immeuble Innovation 3 442 rue George Besse - 2e étage;30000;Nîmes;https://www.greta-gard.com;43.81963;4.368653
EPLEFPA;CFPPA 50 route de Grazac;31190;Auterive;https://citesciencesvertes.educagri.fr/;43.34156;1.475875
CREPT FORMATION;"130 rue Henri Desbals, 31100, TOULOUSE";31100;Toulouse;https://francais.cci-paris-idf.fr/inscription-candidat/contact/831/23;43.580568;1.412925
LEO LAGRANGE FORMATION;"13 RUE MICHEL LABROUSSE, 31100, TOULOUSE";31100;Toulouse;https://francais.cci-paris-idf.fr/inscription-candidat/contact/482/23;43.568451;1.386421
LEO LAGRANGE FORMATION;"70 Boulevard Matabiau, 31000, TOULOUSE";31000;Toulouse;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1093;43.615874;1.43835
KANGOUROU PROVENCE;"2 Rue Raymond Lizop - Immeuble ""Les Imaginations Fertiles"", 31100, Toulouse";31100;Toulouse;https://francais.cci-paris-idf.fr/inscription-candidat/contact/866/23;43.567259;1.398521
AMS GRAND SUD;70 boulevard Matabiau;31000;Toulouse;http://www.ams-grandsud.com;43.615874;1.43835
ALLIANCE FRANÇAISE;"Bâtiment Maison des Associations 3, bis place Guy Hersant";31400;Toulouse;http://www.alliance-toulouse.org;43.577366;1.444192
LANGUE ONZE;10 rue des arts;31000;Toulouse;http://www.langueonze.com;50.686485;3.168821
LEO LAGRANGE FORMATION;"1 allée Lagarrasic, 32000, Auch";32000;Auch;https://francais.cci-paris-idf.fr/inscription-candidat/contact/847/23;43.642007;0.585789
ASSOCIATION NATIF;13 boulevard Roquelaure;32000;Auch;http://www.natif.fr;43.649897;0.58534
LEO LAGRANGE FORMATION;"16 rue Jean Jaurès, 32100, CONDOM";32100;Condom;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1040;43.955869;0.37243
LEO LAGRANGE FORMATION;"22 Rue Jean Jaurès, 32600, L’ISLE JOURDAIN";32600;L’isle Jourdain;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1041;43.614672;1.09055
NEWDEAL INSTITUT BORDEAUX;"2 Parvis Gattebourse, 33800, BORDEAUX";33800;Bordeaux;https://francais.cci-paris-idf.fr/inscription-candidat/contact/637;44.820341;-0.546333
ALLIANCE FRANÇAISE;126 rue Abbé de l'Epée;33000;Bordeaux;http://www.alliance-bordeaux.org;44.845334;-0.583874
INFREP GIRONDE;110 rue Achard Bâtiment C;33300;Bordeaux;https://www.infrep.org/agences/infrep-gironde/;45.978217;4.726115
CLAP SUD-OUEST;"13 - 15 allée du Colonel Fabien - LORMONT, 33110, LORMONT";33110;Lormont;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1121;44.876317;-0.520119
POLYLANGUES - CERGY;"8 rue du Courant, 33310, LORMONT";33310;Lormont;https://francais.cci-paris-idf.fr/inscription-candidat/contact/815;44.881049;-0.514502
CITÉ DES LANGUES ÉTRANGÈRES DE L'UNIVERSITÉ BORDEAUX MONTAIGNE;Avenue du Dr Paul Fournial;33600;Pessac;https://www.u-bordeaux-montaigne.fr/fr/formations/cleff-cite-des-langues.html;44.793889;-0.617951
LEO LAGRANGE FORMATION;"2 Rue du Saphir - Bâtiment G, 34300, AGDE";34300;Agde;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1019;43.299985;3.475381
LEO LAGRANGE FORMATION;"5/7 Rue Joseph Fabre, 34500, BEZIERS";34500;Beziers;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1020/23;43.349842;3.233263
CENTRE HOBSON;"6, rue Pierre Flourens";34500;Béziers;http://www.centre-hobson.com;43.343161;3.212176
LSF MONTPELLIER FRENCH LANGUAGE SCHOOL;"6 rue Foch, 34000, MONTPELLIER";34000;Montpellier;https://francais.cci-paris-idf.fr/inscription-candidat/contact/619;43.610974;3.87299
INFREP;"4, rue Rondelet";34000;Montpellier;http://www.infrep.org;48.846528;2.385642
ALLIANCE FRANÇAISE;17 rue Marceau;34000;Montpellier;http://www.afmontpellier.fr;43.585977;1.452912
GRETA;"717, avenue Jean Mermoz";34060;Montpellier;https://www.gretacfa-montpellier.fr/;43.610748;3.89033
LEO LAGRANGE FORMATION;"220 avenue du Marechal Juin, 34200, SETE";34200;Sete;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1021;43.40692;3.70373
GRETA CFA;38 rue Robespierre;34200;Sète;https://www.gretacfa-montpellier.fr/;48.41148;-4.49095
MOVE UP FORMATION - RENNES;"107 Avenue Henri Fréville, 35200, RENNES";35200;Rennes;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1064/23;48.086204;-1.673962
CLPS L'ENJEU COMPÉTENCES;"8, rue Jean Le Hô";35000;Rennes;https://www.clps.net/formation/passage-de-lexamen-tcf/;48.104833;-1.723409
ALLIANCE FRANÇAISE;8 boulevard Villebois Mareuil;35400;Saint-Malo;https://af-france.fr/alliance/saint-malo-bretagne/;48.109247;-1.655197
AF-CRIA;La ligue de l'Enseignement 23 bd de la Valla;36000;Châteauroux;https://test-civique.fr/inscription;42.683192;2.817274
CLE;"44 RUE BERNARD PALISSY, 37000, TOURS";37000;Tours;https://francais.cci-paris-idf.fr/inscription-candidat/contact/782/23;47.392508;0.693616
